M,N,z_open,final_cpnl,sharpe_ratio,total_signals,max_position
4,88,0.4,7.880902016684552,0.7544137801302975,12969,34.0
4,88,0.6,7.114949447231841,0.7343817172594197,11103,34.0
4,88,0.8,5.620072802190047,0.6628192087101852,9121,29.0
4,88,1.0,2.6193649799741685,0.3714987517666947,6910,23.0
4,92,0.2,9.516259730593788,0.8426283339101303,14584,40.0
4,92,0.4,11.182619777813176,1.0549958789436626,12969,35.0
4,92,0.6,9.7086507528079,0.987749500443693,11103,34.0
4,92,0.8,8.191842498438357,0.9503232594731391,9121,30.0
4,92,1.0,4.792743997129159,0.6668891263279924,6910,24.0
4,96,0.2,8.84875466091088,0.7666923167455031,14584,43.0
4,96,0.4,10.132035675407394,0.9332020333744329,12969,36.0
4,96,0.6,9.3824403244075,0.9297992596682009,11103,35.0
4,96,0.8,8.545214851002232,0.9655234690147723,9121,30.0
4,96,1.0,4.913457889588118,0.6686894961934446,6910,24.0
4,100,0.2,8.918197942411664,0.7635664973115115,14584,42.0
4,100,0.4,9.87591010386243,0.9001305169998282,12969,37.0
4,100,0.6,8.886969608583227,0.8701229216552503,11103,36.0
4,100,0.8,7.789985725786222,0.8682130835097094,9121,32.0
4,100,1.0,4.477398448918322,0.6067684941403059,6910,24.0
4,104,0.2,8.34578719733848,0.7025631034366459,14584,45.0
4,104,0.4,9.106590537850586,0.8142648174500117,12969,41.0
4,104,0.6,8.063280464595385,0.7740355239558044,11103,37.0
4,104,0.8,7.017173572744965,0.7631715428396557,9121,34.0
4,104,1.0,3.4414370699050947,0.4579787600717434,6910,25.0
4,108,0.2,6.043199717540319,0.4980605554926165,14584,43.0
4,108,0.4,6.69164818758139,0.5887201034632525,12969,39.0
4,108,0.6,5.282106158691002,0.49731057674039003,11103,38.0
4,108,0.8,4.782080205165322,0.509412076914044,9121,33.0
4,108,1.0,1.865260932564385,0.24408852071197332,6910,26.0
4,112,0.2,7.304774229825224,0.5945253111662625,14584,45.0
4,112,0.4,8.277183948218903,0.7195772382343826,12969,40.0
4,112,0.6,6.297561377449094,0.5840998679859982,11103,40.0
4,112,0.8,5.46295338126192,0.5696754927564278,9121,33.0
4,112,1.0,2.4612407592752246,0.31785876358120685,6910,26.0
4,116,0.2,8.507749585645254,0.6827956235274556,14584,47.0
4,116,0.4,9.840252435623398,0.8442211538791227,12969,39.0
4,116,0.6,8.127985414974132,0.7428785653579074,11103,39.0
4,116,0.8,6.587977665085562,0.6761385661669093,9121,32.0
4,116,1.0,3.654492059120971,0.464641779372569,6910,26.0
4,120,0.2,8.112427576610258,0.6402743007401817,14584,46.0
4,120,0.4,9.703399744667902,0.8203887891164008,12969,41.0
4,120,0.6,8.58118617806744,0.771019414049686,11103,39.0
4,120,0.8,6.650651734725909,0.6704770575969967,9121,34.0
4,120,1.0,4.011476572518061,0.5034501941663319,6910,27.0
8,4,0.2,0.15614852066912766,0.05766114298843951,14513,4.0
8,4,0.4,-0.33822859671328664,-0.13099968439348725,12827,4.0
8,4,0.6,-1.3690216065442145,-0.5707388214529412,11134,4.0
8,4,0.8,-1.44371521615125,-0.6653005089885802,9323,4.0
8,4,1.0,-1.0371570257742548,-0.5475227483775171,7438,4.0
8,8,0.2,1.631899892274304,0.37621914273942225,14513,8.0
8,8,0.4,0.4866532518763371,0.11743077444009029,12827,8.0
8,8,0.6,-0.2588897465923806,-0.0677818931002547,11134,8.0
8,8,0.8,0.1885369609969173,0.054649040583801316,9323,8.0
8,8,1.0,0.21118818274353246,0.07058140710904519,7438,8.0
8,12,0.2,1.7348469340707977,0.3059055399832743,14513,12.0
8,12,0.4,0.9575749761903534,0.17741074670311036,12827,12.0
8,12,0.6,0.7805964902576206,0.15646781911232727,11134,12.0
8,12,0.8,0.6576680671885354,0.1458829605401929,9323,12.0
8,12,1.0,0.11333182083058457,0.029402923063684593,7438,12.0
8,16,0.2,2.5314216117728154,0.3780255228596621,14513,16.0
8,16,0.4,2.1539072232439964,0.3382539011666721,12827,16.0
8,16,0.6,2.0389261647547423,0.3469645117318989,11134,16.0
8,16,0.8,1.434679087534435,0.27153055914493796,9323,16.0
8,16,1.0,0.7819510359097983,0.17401114670290543,7438,15.0
8,20,0.2,-0.20094208284939152,-0.026846792018891216,14513,20.0
8,20,0.4,-0.07062549169572041,-0.009912632706535135,12827,20.0
8,20,0.6,0.4787503746692424,0.0727960618366121,11134,20.0
8,20,0.8,0.1654642169337709,0.028011344021303588,9323,19.0
8,20,1.0,0.24712870946713517,0.04909520943036875,7438,17.0
8,24,0.2,-3.195100274183698,-0.3840112981058274,14513,24.0
8,24,0.4,-2.638111135291051,-0.33114414773994627,12827,24.0
8,24,0.6,-2.2164029410850237,-0.3010934747203071,11134,23.0
8,24,0.8,-2.500620533899681,-0.37886062446455976,9323,22.0
8,24,1.0,-2.250422275600996,-0.39711004001185296,7438,18.0
8,28,0.2,-1.6113475146548142,-0.18157485600040274,14513,28.0
8,28,0.4,-1.5269084915583189,-0.17957529741625533,12827,27.0
8,28,0.6,-0.9346606086794633,-0.11852993485796817,11134,26.0
8,28,0.8,-1.2122143592342536,-0.17146780912109966,9323,23.0
8,28,1.0,-0.7638568062221234,-0.12539754362049932,7438,20.0
8,32,0.2,1.0103405327631525,0.10714067109989384,14513,32.0
8,32,0.4,1.1871019343016076,0.13078514062517227,12827,30.0
8,32,0.6,0.9340338614848687,0.11129195812210614,11134,30.0
8,32,0.8,0.5964139783957602,0.07918782382456042,9323,26.0
8,32,1.0,0.3765915632738398,0.05786001632468513,7438,21.0
8,36,0.2,4.135024873853771,0.41094320264088985,14513,35.0
8,36,0.4,4.380798780678879,0.45045436444778386,12827,34.0
8,36,0.6,3.8279006349907823,0.42633990365719937,11134,34.0
8,36,0.8,3.747806694342928,0.4653394671030447,9323,29.0
8,36,1.0,2.608149259407292,0.37595155060005764,7438,25.0
8,40,0.2,6.165185177381858,0.5818538532398688,14513,39.0
8,40,0.4,5.589776681001073,0.5441703366109141,12827,38.0
8,40,0.6,4.223866268738375,0.443828359363871,11134,37.0
8,40,0.8,4.197599032639626,0.4909904820490223,9323,30.0
8,40,1.0,2.574022002393055,0.35054613819818387,7438,26.0
8,44,0.2,10.848392550002915,0.9685040891213892,14513,39.0
8,44,0.4,9.910859838305091,0.911087977258795,12827,35.0
8,44,0.6,8.348518931555171,0.8256441074048236,11134,35.0
8,44,0.8,7.75982351716402,0.8568894518205517,9323,31.0
8,44,1.0,5.511389048048888,0.7107654653609436,7438,26.0
8,48,0.2,10.608570813815023,0.9045320187636443,14513,41.0
8,48,0.4,9.704291817405768,0.8538855437810005,12827,37.0
8,48,0.6,7.878099126088135,0.745064785306733,11134,36.0
8,48,0.8,7.571289374497144,0.7993786612611032,9323,33.0
8,48,1.0,4.9842412787122905,0.614155021039953,7438,28.0
8,52,0.2,10.592258030674257,0.8650438349266548,14513,45.0
8,52,0.4,10.011810104197345,0.8439792485122245,12827,41.0
8,52,0.6,8.426406234208471,0.7622523482891588,11134,40.0
8,52,0.8,8.136415210608716,0.8207869350877274,9323,37.0
8,52,1.0,5.304558388132969,0.6247987738939369,7438,30.0
8,56,0.2,12.201694965160588,0.9569638729714905,14513,48.0
8,56,0.4,11.731709122392845,0.946225111489168,12827,43.0
8,56,0.6,10.116937862954986,0.8758557317846247,11134,41.0
8,56,0.8,9.52952505888722,0.9208263556919882,9323,37.0
8,56,1.0,6.435899586211654,0.72720514389946,7438,33.0
8,60,0.2,15.282529907820518,1.1607582397773055,14513,48.0
8,60,0.4,15.166289228015998,1.187065660874975,12827,45.0
8,60,0.6,12.347451305719572,1.0359763801084034,11134,44.0
8,60,0.8,11.270844542458898,1.0537066376676776,9323,39.0
8,60,1.0,8.264504626062882,0.9052071544415132,7438,33.0
8,64,0.2,14.451648547710933,1.0580871852379752,14513,48.0
8,64,0.4,14.581133717275547,1.0985756735386716,12827,44.0
8,64,0.6,12.223952397020703,0.9892146672190043,11134,42.0
8,64,0.8,10.608236327820775,0.9578530049500024,9323,39.0
8,64,1.0,7.788865184333021,0.8242643548112609,7438,33.0
8,68,0.2,13.662302492816176,0.9673560561902212,14513,49.0
8,68,0.4,13.872048126802904,1.01048835747078,12827,47.0
8,68,0.6,12.098780326436128,0.9459805572012052,11134,42.0
8,68,0.8,10.420536427836154,0.9102478622703587,9323,38.0
8,68,1.0,8.046428608461131,0.8224420597515424,7438,33.0
8,72,0.2,10.620577079966155,0.7350080266580374,14513,51.0
8,72,0.4,10.681326610804167,0.7608642149229571,12827,46.0
8,72,0.6,8.594357104257877,0.6551821117131387,11134,42.0
8,72,0.8,7.121494886260332,0.6053459608184569,9323,38.0
